"id","age","political_affiliation","libcon","ownhouse","sex","income","highested","employment","Y2","Y3","Y4","Y5","Y6","Y7","Y8"
57,54.184804928131,"(1) Democrat","(2) Conservative","(1) Yes","(1) Male","(5) $50,000 to $74,999","(6) College graduate","(3) Yes, Full-time","(0) Neither negative or positive","(-1) Slightly negative","(-1) Slightly negative","(0) Neither negative or positive","(0) Neither negative or positive","(-1) Slightly negative","(0) Neither negative or positive"
60,40.33401779603,"(2) Republican","(2) Conservative","(1) Yes","(0) Female","(6) $75,000 or more","(5) Some college","(5) Working inside the home only","(-1) Slightly negative","(-2) Very negative","(-2) Very negative","(-1) Slightly negative","(-2) Very negative","(-1) Slightly negative","(-2) Very negative"
62,29.185489390828,"(1) Democrat","(3) Liberal","(1) Yes","(0) Female","(6) $75,000 or more","(6) College graduate","(3) Yes, Full-time","(-2) Very negative","(-2) Very negative","(-1) Slightly negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-1) Slightly negative"
74,27.520876112252,"(3) Independent","(2) Conservative","(2) No","(0) Female","(5) $50,000 to $74,999","(4) Vocational","(1) No","(-2) Very negative","(0) Neither negative or positive","(-2) Very negative","(0) Neither negative or positive","(-1) Slightly negative","(0) Neither negative or positive","(0) Neither negative or positive"
77,42.182067077344,"(3) Independent","(2) Conservative","(1) Yes","(1) Male","(4) $35,000 to $49,999","(6) College graduate","(2) Yes, Part-time","(-1) Slightly negative","(0) Neither negative or positive","(-1) Slightly negative","(-2) Very negative","(-1) Slightly negative","(0) Neither negative or positive","(0) Neither negative or positive"
78,72.889801505818,"(1) Democrat","(3) Liberal","(1) Yes","(0) Female","(6) $75,000 or more","(7) More than college graduate","(1) No","(-2) Very negative","(-1) Slightly negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-1) Slightly negative","(-1) Slightly negative"
79,40.31485284052,"(4) Undeclared","(3) Liberal","(1) Yes","(0) Female","(6) $75,000 or more","(7) More than college graduate","(5) Working inside the home only","(-2) Very negative","(0) Neither negative or positive","(-1) Slightly negative","(-1) Slightly negative","(0) Neither negative or positive","(0) Neither negative or positive","(-2) Very negative"
80,53.41273100616,"(4) Undeclared","(1) Very Conservative","(1) Yes","(0) Female","(4) $35,000 to $49,999","(5) Some college","(3) Yes, Full-time","(0) Neither negative or positive","(-2) Very negative","(0) Neither negative or positive","(0) Neither negative or positive","(0) Neither negative or positive","(0) Neither negative or positive","(-1) Slightly negative"
85,47.400410677618,"(3) Independent","(4) Very Liberal","(1) Yes","(1) Male","(4) $35,000 to $49,999","(6) College graduate","(5) Working inside the home only","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative"
108,37.152635181383,"(1) Democrat","(3) Liberal","(2) No","(0) Female","(6) $75,000 or more","(7) More than college graduate","(3) Yes, Full-time","(-2) Very negative","(0) Neither negative or positive","(-1) Slightly negative","(-2) Very negative","(0) Neither negative or positive","(0) Neither negative or positive","(-2) Very negative"
112,45.19370294319,"(3) Independent","(2) Conservative","(1) Yes","(0) Female","(5) $50,000 to $74,999","(3) High school graduate","(1) No","(-2) Very negative","(0) Neither negative or positive","(-1) Slightly negative","(0) Neither negative or positive","(-2) Very negative","(-1) Slightly negative","(-2) Very negative"
120,48.591375770021,"(2) Republican","(2) Conservative","(1) Yes","(0) Female","(6) $75,000 or more","(6) College graduate","(2) Yes, Part-time","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative"
127,35.813826146475,"(4) Undeclared","(3) Liberal","(1) Yes","(0) Female","(3) $25,000 to $34,999","(5) Some college","(2) Yes, Part-time","(-1) Slightly negative","(-2) Very negative","(0) Neither negative or positive","(0) Neither negative or positive","(-2) Very negative","(-2) Very negative","(-1) Slightly negative"
130,52.64887063655,"(1) Democrat","(2) Conservative","(1) Yes","(1) Male","(4) $35,000 to $49,999","(5) Some college","(3) Yes, Full-time","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative"
135,50.669404517454,"(1) Democrat","(4) Very Liberal","(2) No","(1) Male","(1) Under $15,000","(6) College graduate","(1) No","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative"
167,41.941136208077,"(2) Republican","(1) Very Conservative","(1) Yes","(0) Female","(5) $50,000 to $74,999","(5) Some college","(3) Yes, Full-time","(-1) Slightly negative","(-2) Very negative","(-1) Slightly negative","(0) Neither negative or positive","(0) Neither negative or positive","(1) Slightly positive","(0) Neither negative or positive"
179,32.301163586585,"(4) Undeclared","(2) Conservative","(1) Yes","(1) Male","(6) $75,000 or more","(6) College graduate","(3) Yes, Full-time","(-2) Very negative","(1) Slightly positive","(0) Neither negative or positive","(0) Neither negative or positive","(1) Slightly positive","(0) Neither negative or positive","(-1) Slightly negative"
183,43.997262149213,"(4) Undeclared","(2) Conservative","(1) Yes","(0) Female","(3) $25,000 to $34,999","(5) Some college","(5) Working inside the home only","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-1) Slightly negative","(-2) Very negative","(-1) Slightly negative","(-2) Very negative"
194,24.624229979466,"(1) Democrat","(4) Very Liberal","(2) No","(0) Female","(1) Under $15,000","(5) Some college","(3) Yes, Full-time","(-1) Slightly negative","(-2) Very negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(-2) Very negative"
199,46.896646132786,"(2) Republican","(3) Liberal","(1) Yes","(1) Male","(6) $75,000 or more","(6) College graduate","(3) Yes, Full-time","(0) Neither negative or positive","(2) Very positive","(0) Neither negative or positive","(0) Neither negative or positive","(1) Slightly positive","(1) Slightly positive","(0) Neither negative or positive"
213,57.889117043121,"(2) Republican","(2) Conservative","(1) Yes","(0) Female","(3) $25,000 to $34,999","(5) Some college","(2) Yes, Part-time","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative"
218,41.377138945927,"(1) Democrat","(3) Liberal","(1) Yes","(0) Female","(6) $75,000 or more","(7) More than college graduate","(3) Yes, Full-time","(-2) Very negative","(-2) Very negative","(-1) Slightly negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative"
230,28.31485284052,"(1) Democrat","(3) Liberal","(1) Yes","(0) Female","(3) $25,000 to $34,999","(6) College graduate","(2) Yes, Part-time","(-2) Very negative","(-2) Very negative","(-1) Slightly negative","(-1) Slightly negative","(0) Neither negative or positive","(0) Neither negative or positive","(0) Neither negative or positive"
231,23.342915811088,"(4) Undeclared","(3) Liberal","(1) Yes","(1) Male","(4) $35,000 to $49,999","(4) Vocational","(3) Yes, Full-time","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(0) Neither negative or positive","(0) Neither negative or positive","(0) Neither negative or positive","(0) Neither negative or positive"
232,38.833675564682,"(1) Democrat","(4) Very Liberal","(2) No","(1) Male","(6) $75,000 or more","(5) Some college","(3) Yes, Full-time","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative"
249,28.246406570842,"(1) Democrat","(4) Very Liberal","(1) Yes","(1) Male","(5) $50,000 to $74,999","(3) High school graduate","(3) Yes, Full-time","(-1) Slightly negative","(0) Neither negative or positive","(1) Slightly positive","(0) Neither negative or positive","(0) Neither negative or positive","(1) Slightly positive","(1) Slightly positive"
250,21.497604380561,"(1) Democrat","(2) Conservative","(2) No","(1) Male","(2) $15,000 to $24,999","(5) Some college","(2) Yes, Part-time","(-1) Slightly negative","(1) Slightly positive","(0) Neither negative or positive","(-1) Slightly negative","(0) Neither negative or positive","(0) Neither negative or positive","(-1) Slightly negative"
251,59.726214921287,"(1) Democrat","(3) Liberal","(1) Yes","(0) Female","(3) $25,000 to $34,999","(7) More than college graduate","(3) Yes, Full-time","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(0) Neither negative or positive","(-1) Slightly negative","(-1) Slightly negative"
255,44.424366872005,"(1) Democrat","(3) Liberal","(2) No","(0) Female","(1) Under $15,000","(5) Some college","(2) Yes, Part-time","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(0) Neither negative or positive","(-1) Slightly negative"
267,25.577002053388,"(1) Democrat","(3) Liberal","(1) Yes","(0) Female","(4) $35,000 to $49,999","(7) More than college graduate","(3) Yes, Full-time","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-1) Slightly negative","(-2) Very negative"
268,30.209445585216,"(1) Democrat","(2) Conservative","(1) Yes","(1) Male","(3) $25,000 to $34,999","(6) College graduate","(3) Yes, Full-time","(-2) Very negative","(-1) Slightly negative","(0) Neither negative or positive","(0) Neither negative or positive","(0) Neither negative or positive","(1) Slightly positive","(-2) Very negative"
273,42.888432580424,"(5) Other","(2) Conservative","(2) No","(1) Male","(1) Under $15,000","(5) Some college","(5) Working inside the home only","(0) Neither negative or positive","(1) Slightly positive","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(0) Neither negative or positive","(0) Neither negative or positive"
298,71.745379876797,"(2) Republican","(1) Very Conservative","(2) No","(1) Male","(2) $15,000 to $24,999","(5) Some college","(2) Yes, Part-time","(1) Slightly positive","(2) Very positive","(2) Very positive","(2) Very positive","(2) Very positive","(2) Very positive","(2) Very positive"
299,44.774811772758,"(1) Democrat","(2) Conservative","(1) Yes","(0) Female","(6) $75,000 or more","(5) Some college","(2) Yes, Part-time","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(0) Neither negative or positive","(0) Neither negative or positive","(-1) Slightly negative"
300,47.200547570157,"(1) Democrat","(2) Conservative","(2) No","(1) Male","(6) $75,000 or more","(6) College graduate","(3) Yes, Full-time","(-2) Very negative","(-2) Very negative","(-1) Slightly negative","(-2) Very negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative"
309,30.228610540726,"(3) Independent","(2) Conservative","(2) No","(0) Female","(6) $75,000 or more","(7) More than college graduate","(3) Yes, Full-time","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative"
312,39.143052703628,"(2) Republican","(2) Conservative","(1) Yes","(0) Female","(6) $75,000 or more","(6) College graduate","(2) Yes, Part-time","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-1) Slightly negative","(-1) Slightly negative","(-2) Very negative"
313,29.223819301848,"(1) Democrat","(3) Liberal","(1) Yes","(0) Female","(6) $75,000 or more","(6) College graduate","(1) No","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative"
324,53.325119780972,"(3) Independent","(3) Liberal","(1) Yes","(0) Female","(6) $75,000 or more","(5) Some college","(2) Yes, Part-time","(-1) Slightly negative","(0) Neither negative or positive","(0) Neither negative or positive","(0) Neither negative or positive","(0) Neither negative or positive","(0) Neither negative or positive","(-2) Very negative"
325,34.792607802875,"(1) Democrat","(3) Liberal","(1) Yes","(0) Female","(5) $50,000 to $74,999","(4) Vocational","(3) Yes, Full-time","(-2) Very negative","(-2) Very negative","(0) Neither negative or positive","(0) Neither negative or positive","(-2) Very negative","(0) Neither negative or positive","(0) Neither negative or positive"
329,46.622861054073,"(2) Republican","(1) Very Conservative","(1) Yes","(1) Male","(5) $50,000 to $74,999","(5) Some college","(3) Yes, Full-time","(-2) Very negative","(1) Slightly positive","(-2) Very negative","(-2) Very negative","(1) Slightly positive","(-1) Slightly negative","(0) Neither negative or positive"
338,68.583162217659,"(1) Democrat","(3) Liberal","(1) Yes","(0) Female","(2) $15,000 to $24,999","(4) Vocational","(1) No","(-2) Very negative","(-2) Very negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(0) Neither negative or positive"
339,42.327173169062,"(4) Undeclared","(2) Conservative","(1) Yes","(0) Female","(1) Under $15,000","(3) High school graduate","(3) Yes, Full-time","(-2) Very negative","(-2) Very negative","(-1) Slightly negative","(-1) Slightly negative","(0) Neither negative or positive","(0) Neither negative or positive","(0) Neither negative or positive"
340,35.022587268994,"(2) Republican","(2) Conservative","(1) Yes","(1) Male","(5) $50,000 to $74,999","(6) College graduate","(3) Yes, Full-time","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-1) Slightly negative","(-2) Very negative","(-1) Slightly negative"
342,37.278576317591,"(1) Democrat","(3) Liberal","(1) Yes","(0) Female","(5) $50,000 to $74,999","(6) College graduate","(3) Yes, Full-time","(-1) Slightly negative","(-1) Slightly negative","(1) Slightly positive","(-1) Slightly negative","(1) Slightly positive","(-1) Slightly negative","(-1) Slightly negative"
343,30.464065708419,"(2) Republican","(2) Conservative","(1) Yes","(0) Female","(4) $35,000 to $49,999","(5) Some college","(1) No","(-2) Very negative","(0) Neither negative or positive","(0) Neither negative or positive","(0) Neither negative or positive","(0) Neither negative or positive","(0) Neither negative or positive","(0) Neither negative or positive"
344,25.952087611225,"(1) Democrat","(2) Conservative","(1) Yes","(0) Female","(4) $35,000 to $49,999","(3) High school graduate","(5) Working inside the home only","(-1) Slightly negative","(-1) Slightly negative","(-2) Very negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(-2) Very negative"
346,56.062970568104,"(1) Democrat","(3) Liberal","(1) Yes","(0) Female","(5) $50,000 to $74,999","(6) College graduate","(3) Yes, Full-time","(-2) Very negative","(-2) Very negative","(-2) Very negative","(1) Slightly positive","(1) Slightly positive","(-1) Slightly negative","(1) Slightly positive"
350,26.839151266256,"(1) Democrat","(3) Liberal","(1) Yes","(0) Female","(6) $75,000 or more","(7) More than college graduate","(3) Yes, Full-time","(-2) Very negative","(-2) Very negative","(1) Slightly positive","(0) Neither negative or positive","(0) Neither negative or positive","(0) Neither negative or positive","(0) Neither negative or positive"
351,40.396988364134,"(4) Undeclared","(2) Conservative","(1) Yes","(0) Female","(5) $50,000 to $74,999","(5) Some college","(1) No","(-2) Very negative","(-2) Very negative","(0) Neither negative or positive","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(-2) Very negative"
352,28.818617385353,"(1) Democrat","(3) Liberal","(1) Yes","(0) Female","(6) $75,000 or more","(6) College graduate","(3) Yes, Full-time","(-2) Very negative","(1) Slightly positive","(-1) Slightly negative","(-2) Very negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative"
353,43.800136892539,"(3) Independent","(3) Liberal","(2) No","(0) Female","(2) $15,000 to $24,999","(5) Some college","(5) Working inside the home only","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative"
356,29.114305270363,"(1) Democrat","(3) Liberal","(1) Yes","(0) Female","(6) $75,000 or more","(7) More than college graduate","(3) Yes, Full-time","(0) Neither negative or positive","(0) Neither negative or positive","(0) Neither negative or positive","(-1) Slightly negative","(0) Neither negative or positive","(0) Neither negative or positive","(-1) Slightly negative"
360,34.926762491444,"(3) Independent","(2) Conservative","(1) Yes","(0) Female","(6) $75,000 or more","(7) More than college graduate","(3) Yes, Full-time","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-1) Slightly negative","(-1) Slightly negative","(-2) Very negative","(-2) Very negative"
374,27.367556468172,"(2) Republican","(2) Conservative","(1) Yes","(0) Female","(5) $50,000 to $74,999","(6) College graduate","(3) Yes, Full-time","(-2) Very negative","(0) Neither negative or positive","(0) Neither negative or positive","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(-2) Very negative"
378,32.150581793292,"(3) Independent","(1) Very Conservative","(1) Yes","(1) Male","(6) $75,000 or more","(6) College graduate","(3) Yes, Full-time","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative"
382,53.875427789185,"(3) Independent","(2) Conservative","(1) Yes","(1) Male","(2) $15,000 to $24,999","(6) College graduate","(2) Yes, Part-time","(-2) Very negative","(-2) Very negative","(1) Slightly positive","(1) Slightly positive","(-1) Slightly negative","(-1) Slightly negative","(-2) Very negative"
386,31.876796714579,"(3) Independent","(3) Liberal","(2) No","(0) Female","(5) $50,000 to $74,999","(7) More than college graduate","(3) Yes, Full-time","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative"
387,38.149212867899,"(3) Independent","(3) Liberal","(1) Yes","(1) Male","(1) Under $15,000","(3) High school graduate","(1) No","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(2) Very positive"
389,58.209445585216,"(4) Undeclared","(1) Very Conservative","(1) Yes","(0) Female","(4) $35,000 to $49,999","(3) High school graduate","(3) Yes, Full-time","(-1) Slightly negative","(-1) Slightly negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-1) Slightly negative"
391,21.650924024641,"(1) Democrat","(3) Liberal","(2) No","(0) Female","(2) $15,000 to $24,999","(5) Some college","(1) No","(-2) Very negative","(-2) Very negative","(-1) Slightly negative","(1) Slightly positive","(0) Neither negative or positive","(0) Neither negative or positive","(-1) Slightly negative"
393,48.4681724846,"(1) Democrat","(3) Liberal","(1) Yes","(0) Female","(6) $75,000 or more","(7) More than college graduate","(3) Yes, Full-time","(-2) Very negative","(-1) Slightly negative","(-1) Slightly negative","(-2) Very negative","(-1) Slightly negative","(-1) Slightly negative","(-2) Very negative"
394,53.815195071869,"(3) Independent","(3) Liberal","(1) Yes","(0) Female","(5) $50,000 to $74,999","(7) More than college graduate","(2) Yes, Part-time","(-1) Slightly negative","(0) Neither negative or positive","(0) Neither negative or positive","(0) Neither negative or positive","(1) Slightly positive","(0) Neither negative or positive","(-1) Slightly negative"
398,22.004106776181,"(1) Democrat","(3) Liberal","(1) Yes","(0) Female","(5) $50,000 to $74,999","(5) Some college","(2) Yes, Part-time","(-2) Very negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(0) Neither negative or positive"
403,42.976043805613,"(3) Independent","(3) Liberal","(1) Yes","(1) Male","(5) $50,000 to $74,999","(6) College graduate","(3) Yes, Full-time","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-1) Slightly negative","(-2) Very negative"
404,39.655030800821,"(1) Democrat","(3) Liberal","(1) Yes","(1) Male","(6) $75,000 or more","(6) College graduate","(3) Yes, Full-time","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative"
405,31.507186858316,"(4) Undeclared","(3) Liberal","(2) No","(0) Female","(5) $50,000 to $74,999","(5) Some college","(1) No","(0) Neither negative or positive","(0) Neither negative or positive","(0) Neither negative or positive","(0) Neither negative or positive","(0) Neither negative or positive","(0) Neither negative or positive","(0) Neither negative or positive"
406,38.297056810404,"(1) Democrat","(3) Liberal","(1) Yes","(0) Female","(4) $35,000 to $49,999","(6) College graduate","(3) Yes, Full-time","(-2) Very negative","(-2) Very negative","(-1) Slightly negative","(-2) Very negative","(0) Neither negative or positive","(0) Neither negative or positive","(-1) Slightly negative"
407,32.851471594798,"(2) Republican","(1) Very Conservative","(1) Yes","(1) Male","(4) $35,000 to $49,999","(5) Some college","(3) Yes, Full-time","(-2) Very negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(1) Slightly positive","(0) Neither negative or positive"
410,25.820670773443,"(4) Undeclared","(2) Conservative","(2) No","(1) Male","(4) $35,000 to $49,999","(7) More than college graduate","(3) Yes, Full-time","(0) Neither negative or positive","(0) Neither negative or positive","(0) Neither negative or positive","(0) Neither negative or positive","(-1) Slightly negative","(0) Neither negative or positive","(-2) Very negative"
415,48.588637919233,"(2) Republican","(1) Very Conservative","(1) Yes","(0) Female","(6) $75,000 or more","(5) Some college","(3) Yes, Full-time","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(1) Slightly positive","(-1) Slightly negative"
421,43.403148528405,"(1) Democrat","(4) Very Liberal","(1) Yes","(0) Female","(5) $50,000 to $74,999","(4) Vocational","(3) Yes, Full-time","(-2) Very negative","(-1) Slightly negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative"
423,42.124572210815,"(2) Republican","(2) Conservative","(1) Yes","(0) Female","(5) $50,000 to $74,999","(3) High school graduate","(2) Yes, Part-time","(-2) Very negative","(-1) Slightly negative","(-2) Very negative","(-1) Slightly negative","(0) Neither negative or positive","(0) Neither negative or positive","(0) Neither negative or positive"
424,70.250513347023,"(2) Republican","(2) Conservative","(1) Yes","(0) Female","(5) $50,000 to $74,999","(5) Some college","(4) Retired","(-2) Very negative","(-1) Slightly negative","(0) Neither negative or positive","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative"
431,34.247775496235,"(2) Republican","(2) Conservative","(1) Yes","(0) Female","(3) $25,000 to $34,999","(5) Some college","(1) No","(-2) Very negative","(-2) Very negative","(-1) Slightly negative","(-2) Very negative","(0) Neither negative or positive","(0) Neither negative or positive","(-2) Very negative"
436,52.750171115674,"(1) Democrat","(3) Liberal","(1) Yes","(0) Female","(4) $35,000 to $49,999","(5) Some college","(3) Yes, Full-time","(-2) Very negative","(-1) Slightly negative","(-2) Very negative","(-1) Slightly negative","(-1) Slightly negative","(0) Neither negative or positive","(0) Neither negative or positive"
440,39.816563997262,"(2) Republican","(2) Conservative","(2) No","(0) Female","(5) $50,000 to $74,999","(3) High school graduate","(1) No","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative"
441,51.151266255989,"(3) Independent","(2) Conservative","(1) Yes","(1) Male","(6) $75,000 or more","(6) College graduate","(3) Yes, Full-time","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(0) Neither negative or positive","(0) Neither negative or positive","(-1) Slightly negative","(0) Neither negative or positive"
443,36.917180013689,"(1) Democrat","(3) Liberal","(1) Yes","(0) Female","(5) $50,000 to $74,999","(6) College graduate","(3) Yes, Full-time","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(0) Neither negative or positive","(0) Neither negative or positive","(0) Neither negative or positive"
445,52.082135523614,"(3) Independent","(3) Liberal","(1) Yes","(0) Female","(6) $75,000 or more","(5) Some college","(3) Yes, Full-time","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-1) Slightly negative","(1) Slightly positive","(-2) Very negative"
451,41.245722108145,"(4) Undeclared","(3) Liberal","(2) No","(0) Female","(3) $25,000 to $34,999","(5) Some college","(3) Yes, Full-time","(-2) Very negative","(-2) Very negative","(-1) Slightly negative","(-2) Very negative","(-1) Slightly negative","(-2) Very negative","(-1) Slightly negative"
453,56.539356605065,"(1) Democrat","(2) Conservative","(1) Yes","(0) Female","(4) $35,000 to $49,999","(3) High school graduate","(1) No","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-1) Slightly negative","(-2) Very negative","(-2) Very negative"
455,34.595482546201,"(1) Democrat","(4) Very Liberal","(1) Yes","(0) Female","(5) $50,000 to $74,999","(4) Vocational","(2) Yes, Part-time","(0) Neither negative or positive","(0) Neither negative or positive","(-2) Very negative","(0) Neither negative or positive","(0) Neither negative or positive","(0) Neither negative or positive","(0) Neither negative or positive"
457,49.051334702259,"(2) Republican","(2) Conservative","(1) Yes","(0) Female","(2) $15,000 to $24,999","(5) Some college","(3) Yes, Full-time","(-2) Very negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(0) Neither negative or positive","(0) Neither negative or positive","(-1) Slightly negative"
458,45.390828199863,"(1) Democrat","(2) Conservative","(1) Yes","(0) Female","(6) $75,000 or more","(7) More than college graduate","(5) Working inside the home only","(-2) Very negative","(-2) Very negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(-2) Very negative"
459,51.507186858316,"(2) Republican","(2) Conservative","(1) Yes","(0) Female","(5) $50,000 to $74,999","(3) High school graduate","(2) Yes, Part-time","(0) Neither negative or positive","(0) Neither negative or positive","(0) Neither negative or positive","(0) Neither negative or positive","(0) Neither negative or positive","(0) Neither negative or positive","(0) Neither negative or positive"
