"id","time","censored","total_charges","monthly_charges","contract","payment_method","paperless","gender","senior","partner","dependents","phone_service","multiple_lines","internet_service","online_security","online_backup","device_protection","tech_support","streaming_tv","streaming_movies"
79,30,1,2111.3,74.75,"Month-to-month","Electronic check","Yes","Male","Yes","No","No","Yes","No","DSL","Yes","Yes","No","No","Yes","Yes"
80,45,1,1216.6,25.9,"One year","Credit card (automatic)","Yes","Female","No","Yes","Yes","Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
81,1,0,79.35,79.35,"Month-to-month","Electronic check","Yes","Female","No","No","Yes","Yes","No","Fiber optic","No","No","No","No","Yes","No"
82,11,1,565.35,50.55,"Month-to-month","Electronic check","No","Female","No","Yes","Yes","No","No phone service","DSL","Yes","No","No","No","Yes","Yes"
83,7,0,496.9,75.15,"Month-to-month","Bank transfer (automatic)","Yes","Female","No","Yes","No","Yes","No","Fiber optic","No","No","Yes","No","No","No"
84,42,1,4327.5,103.8,"Month-to-month","Bank transfer (automatic)","Yes","Female","No","No","No","Yes","No","Fiber optic","No","Yes","Yes","Yes","Yes","Yes"
85,49,1,973.35,20.15,"Two year","Bank transfer (automatic)","Yes","Female","No","Yes","No","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
86,9,1,918.75,99.3,"Month-to-month","Credit card (automatic)","Yes","Male","No","No","No","Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes"
87,35,1,2215.45,62.15,"One year","Bank transfer (automatic)","Yes","Female","No","Yes","No","Yes","No","DSL","Yes","No","No","No","Yes","No"
88,48,1,1057,20.65,"Two year","Bank transfer (automatic)","No","Female","No","Yes","Yes","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
89,46,1,927.1,19.95,"Two year","Mailed check","Yes","Female","No","Yes","Yes","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
90,29,1,1009.25,33.75,"Month-to-month","Mailed check","No","Male","No","Yes","No","No","No phone service","DSL","No","No","No","No","Yes","No"
91,30,1,2570.2,82.05,"Month-to-month","Bank transfer (automatic)","No","Male","No","Yes","Yes","Yes","No","Fiber optic","No","Yes","Yes","No","No","No"
92,1,1,74.7,74.7,"Month-to-month","Electronic check","No","Male","Yes","No","No","Yes","No","Fiber optic","No","No","No","Yes","No","No"
93,66,1,5714.25,84,"Two year","Mailed check","Yes","Male","No","Yes","Yes","Yes","Yes","DSL","Yes","No","Yes","Yes","Yes","Yes"
94,65,1,7107,111.05,"Month-to-month","Credit card (automatic)","Yes","Female","No","No","No","Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes"
95,72,1,7459.05,100.9,"Two year","Bank transfer (automatic)","Yes","Male","No","No","No","Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes"
96,12,0,927.35,78.95,"Month-to-month","Electronic check","Yes","Female","No","No","No","Yes","Yes","Fiber optic","Yes","No","No","No","No","No"
97,71,1,4748.7,66.85,"One year","Credit card (automatic)","Yes","Male","No","Yes","Yes","Yes","Yes","DSL","Yes","Yes","No","Yes","No","No"
98,5,0,113.85,21.05,"Month-to-month","Mailed check","No","Male","No","No","No","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
99,52,1,1107.2,21,"Two year","Bank transfer (automatic)","No","Male","No","No","No","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
100,25,0,2514.5,98.5,"Month-to-month","Electronic check","Yes","Female","Yes","Yes","No","Yes","No","Fiber optic","No","Yes","Yes","No","Yes","Yes"
101,1,1,20.2,20.2,"Month-to-month","Mailed check","No","Male","No","No","No","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
102,1,1,19.45,19.45,"Month-to-month","Electronic check","No","Female","No","Yes","Yes","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
103,38,1,3605.6,95,"One year","Bank transfer (automatic)","No","Male","No","No","No","Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","No"
104,66,1,3027.25,45.55,"One year","Bank transfer (automatic)","No","Female","Yes","Yes","No","No","No phone service","DSL","No","Yes","Yes","No","Yes","No"
105,68,0,7611.85,110,"Two year","Bank transfer (automatic)","Yes","Male","No","Yes","No","Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes"
106,5,1,100.2,24.3,"Month-to-month","Mailed check","No","Male","No","No","No","No","No phone service","DSL","No","No","No","No","No","No"
107,72,1,7303.05,104.15,"One year","Electronic check","Yes","Female","No","Yes","Yes","Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","Yes"
108,32,1,927.65,30.15,"One year","Mailed check","No","Female","No","No","No","No","No phone service","DSL","Yes","No","No","No","No","No"
109,43,1,3921.3,94.35,"One year","Mailed check","No","Male","No","No","No","Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes"
110,72,1,1363.25,19.4,"Two year","Credit card (automatic)","No","Male","No","Yes","Yes","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
111,55,0,5238.9,96.75,"Month-to-month","Electronic check","Yes","Male","No","Yes","No","Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","No"
112,52,1,3042.25,57.95,"One year","Credit card (automatic)","No","Female","No","No","No","Yes","No","DSL","Yes","No","Yes","Yes","No","No"
113,43,1,3954.1,91.65,"Month-to-month","Electronic check","Yes","Female","No","No","No","Yes","No","Fiber optic","No","Yes","Yes","No","Yes","No"
114,37,0,2868.15,76.5,"Month-to-month","Electronic check","Yes","Female","Yes","Yes","No","Yes","Yes","Fiber optic","No","No","No","No","No","No"
115,64,1,3423.5,54.6,"Two year","Electronic check","Yes","Female","No","Yes","Yes","No","No phone service","DSL","No","Yes","No","Yes","Yes","Yes"
116,3,1,248.4,89.85,"Month-to-month","Electronic check","No","Male","No","Yes","Yes","Yes","No","Fiber optic","Yes","Yes","No","No","Yes","No"
117,36,1,1126.35,31.05,"Two year","Bank transfer (automatic)","No","Female","No","No","No","No","No phone service","DSL","Yes","No","No","No","No","No"
118,10,0,1064.65,100.25,"Month-to-month","Electronic check","Yes","Female","No","Yes","Yes","Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes"
119,41,1,835.15,20.65,"Two year","Mailed check","No","Female","No","No","No","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
120,27,1,2151.6,85.2,"Month-to-month","Credit card (automatic)","Yes","Male","No","Yes","Yes","Yes","Yes","Fiber optic","No","Yes","No","Yes","No","No"
121,56,1,5515.45,99.8,"One year","Credit card (automatic)","Yes","Female","No","Yes","Yes","Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes"
122,6,1,112.75,20.7,"Month-to-month","Mailed check","No","Female","No","No","No","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
123,3,0,229.55,74.4,"Month-to-month","Electronic check","Yes","Male","No","No","No","Yes","Yes","Fiber optic","No","No","No","No","No","No"
124,7,1,350.35,50.7,"Month-to-month","Mailed check","No","Female","No","Yes","Yes","Yes","No","DSL","Yes","No","No","No","No","No"
125,4,1,62.9,20.85,"Month-to-month","Mailed check","No","Female","No","Yes","Yes","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
126,33,1,3027.65,88.95,"Two year","Electronic check","Yes","Male","No","No","No","Yes","No","Fiber optic","Yes","No","No","Yes","Yes","No"
127,27,0,2135.5,78.05,"Month-to-month","Electronic check","Yes","Female","Yes","No","No","Yes","Yes","Fiber optic","No","No","Yes","No","No","No"
128,72,1,1723.95,23.55,"Two year","Bank transfer (automatic)","Yes","Male","No","Yes","No","Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
129,1,1,19.75,19.75,"Month-to-month","Mailed check","No","Male","No","No","No","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
130,71,1,3985.35,56.45,"One year","Electronic check","Yes","Male","Yes","No","No","No","No phone service","DSL","Yes","Yes","No","No","Yes","Yes"
131,13,1,1215.65,85.95,"Month-to-month","Electronic check","Yes","Female","No","No","No","Yes","Yes","Fiber optic","No","No","No","No","No","Yes"
132,25,0,1502.65,58.6,"Month-to-month","Credit card (automatic)","Yes","Female","No","Yes","Yes","No","No phone service","DSL","Yes","Yes","Yes","No","Yes","Yes"
133,67,1,3260.1,50.55,"Two year","Bank transfer (automatic)","No","Male","No","No","No","Yes","No","DSL","No","No","No","Yes","No","No"
134,1,0,35.45,35.45,"Month-to-month","Electronic check","Yes","Male","No","No","No","No","No phone service","DSL","No","No","No","No","No","Yes"
135,2,0,81.25,44.35,"Month-to-month","Electronic check","No","Male","No","No","No","Yes","No","DSL","No","No","No","No","No","No"
136,43,1,1188.2,25.7,"Two year","Credit card (automatic)","Yes","Female","No","No","No","Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
137,23,1,1778.5,75,"Month-to-month","Bank transfer (automatic)","Yes","Female","No","No","No","Yes","No","Fiber optic","Yes","No","No","No","No","No"
138,64,1,1277.75,20.2,"Two year","Mailed check","No","Female","No","Yes","Yes","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
139,57,1,1170.55,19.6,"Two year","Mailed check","Yes","Male","No","No","Yes","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
140,1,0,70.45,70.45,"Month-to-month","Mailed check","Yes","Female","Yes","Yes","No","Yes","No","Fiber optic","No","No","No","No","No","No"
141,72,1,6425.65,88.05,"Two year","Credit card (automatic)","Yes","Female","Yes","Yes","Yes","Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes"
142,8,0,563.65,71.15,"Month-to-month","Electronic check","No","Female","No","No","No","Yes","Yes","DSL","Yes","No","No","Yes","No","Yes"
143,61,1,5971.25,101.05,"Two year","Bank transfer (automatic)","Yes","Female","No","Yes","No","Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes"
144,64,1,5289.05,84.3,"One year","Credit card (automatic)","Yes","Male","No","No","No","Yes","Yes","Fiber optic","Yes","Yes","No","No","No","No"
145,71,1,1756.2,23.95,"Two year","Bank transfer (automatic)","No","Male","Yes","Yes","No","Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
146,65,1,6416.7,99.05,"Two year","Credit card (automatic)","Yes","Female","No","Yes","Yes","Yes","Yes","Fiber optic","Yes","Yes","No","Yes","Yes","No"
147,3,1,61.35,19.6,"One year","Mailed check","No","Male","No","No","No","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
148,1,0,45.65,45.65,"Month-to-month","Electronic check","Yes","Male","No","No","No","Yes","No","DSL","No","No","No","No","No","No"
149,30,1,1929.95,64.5,"One year","Credit card (automatic)","No","Male","No","No","Yes","Yes","No","DSL","No","Yes","Yes","No","Yes","No"
150,15,1,1071.4,69.5,"Month-to-month","Mailed check","Yes","Male","No","Yes","Yes","Yes","No","DSL","No","Yes","Yes","Yes","No","Yes"
151,8,1,564.35,68.55,"Month-to-month","Electronic check","Yes","Female","No","Yes","Yes","Yes","No","DSL","No","No","No","Yes","Yes","Yes"
152,7,0,655.5,95,"Month-to-month","Mailed check","No","Male","No","No","No","Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes"
153,70,1,7930.55,108.15,"One year","Credit card (automatic)","Yes","Female","No","Yes","Yes","Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes"
154,62,1,5215.25,86.1,"Two year","Electronic check","No","Male","No","Yes","Yes","Yes","No","DSL","Yes","Yes","Yes","Yes","Yes","Yes"
155,6,1,113.5,19.7,"Month-to-month","Mailed check","No","Female","No","Yes","Yes","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
156,14,1,1152.8,80.9,"Month-to-month","Bank transfer (automatic)","Yes","Female","No","Yes","Yes","Yes","No","Fiber optic","No","No","No","No","No","Yes"
157,22,1,1821.95,84.15,"Month-to-month","Bank transfer (automatic)","Yes","Female","No","No","No","Yes","Yes","Fiber optic","No","No","No","No","Yes","No"
158,22,1,419.9,20.15,"One year","Mailed check","No","Male","No","Yes","Yes","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
159,16,1,1024,64.25,"Two year","Mailed check","No","Male","No","Yes","Yes","Yes","No","DSL","Yes","No","Yes","No","Yes","No"
160,10,1,251.6,25.7,"Two year","Bank transfer (automatic)","No","Male","No","No","No","Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
161,13,1,764.55,56,"Month-to-month","Electronic check","Yes","Female","No","No","Yes","Yes","No","DSL","Yes","Yes","No","No","No","No"
162,20,0,1592.35,82.4,"Month-to-month","Electronic check","No","Female","No","Yes","No","Yes","Yes","Fiber optic","Yes","No","No","No","No","No"
163,2,1,135.2,69.7,"Month-to-month","Electronic check","Yes","Female","No","No","No","Yes","No","Fiber optic","No","No","No","No","No","No"
164,53,1,3958.25,73.9,"Two year","Bank transfer (automatic)","Yes","Male","No","No","No","Yes","Yes","DSL","No","Yes","Yes","Yes","No","Yes"
165,11,1,233.9,20.6,"One year","Mailed check","No","Female","No","Yes","Yes","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
166,69,1,1363.45,19.9,"Two year","Mailed check","No","Male","No","Yes","No","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
167,4,0,273,70.9,"Month-to-month","Bank transfer (automatic)","Yes","Female","No","No","No","Yes","No","Fiber optic","No","No","No","No","No","No"
168,72,1,6254.45,89.05,"Two year","Bank transfer (automatic)","Yes","Male","No","Yes","No","Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes"
169,58,0,2651.2,45.3,"Month-to-month","Electronic check","Yes","Male","Yes","Yes","No","No","No phone service","DSL","No","Yes","Yes","No","No","Yes"
170,16,1,321.4,20.4,"Month-to-month","Electronic check","No","Female","No","Yes","Yes","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
171,43,1,3539.25,84.25,"One year","Bank transfer (automatic)","Yes","Male","No","Yes","No","Yes","No","Fiber optic","Yes","No","Yes","Yes","No","No"
172,2,0,242.8,104.4,"Month-to-month","Electronic check","Yes","Female","No","Yes","No","Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes"
173,14,1,1181.75,81.95,"Two year","Mailed check","No","Male","No","Yes","No","Yes","No","DSL","No","Yes","Yes","Yes","Yes","Yes"
174,53,0,5000.2,94.85,"One year","Bank transfer (automatic)","Yes","Female","No","Yes","No","Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes"
175,32,1,654.55,20.55,"One year","Bank transfer (automatic)","No","Female","No","No","No","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
176,34,1,780.2,24.7,"Month-to-month","Electronic check","No","Female","No","Yes","No","Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
177,15,0,1145.7,74.45,"Month-to-month","Mailed check","Yes","Female","Yes","No","No","Yes","Yes","Fiber optic","No","No","No","No","No","No"
178,7,0,503.6,76.45,"Month-to-month","Bank transfer (automatic)","No","Female","Yes","No","No","Yes","No","Fiber optic","Yes","No","No","No","No","No"
179,15,1,1559.25,105.35,"Month-to-month","Bank transfer (automatic)","Yes","Female","No","Yes","Yes","Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes"
180,61,1,1252,20.55,"One year","Credit card (automatic)","Yes","Male","No","Yes","No","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
181,1,0,29.95,29.95,"Month-to-month","Bank transfer (automatic)","No","Female","No","No","No","No","No phone service","DSL","No","Yes","No","No","No","No"
